,CRASH_HOUR,Month,Unnamed: 0,CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Year
0,0,1,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,0,6,10,10,10,10,10,10,10,10,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10
1,0,2,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,3,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,0,3,8,8,1,8,8,8,8,8,8,8,8,6,8,8,8,8,8,0,1,5,8,8,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,0,4,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,3,8,8,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4,0,5,13,13,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,2,10,13,13,13,13,13,13,13,13,1,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
5,0,6,10,10,3,10,10,10,10,10,10,10,10,9,10,10,10,10,10,2,1,4,10,10,10,10,10,10,10,10,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,0,7,16,16,1,16,16,16,16,16,16,16,16,13,16,16,16,16,16,3,0,3,16,16,16,16,16,16,16,16,0,1,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16
7,0,8,17,17,3,17,17,17,17,17,17,17,17,16,17,17,17,17,17,4,1,7,17,17,17,17,17,17,17,17,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
8,0,9,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,5,8,8,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,0,10,14,14,0,14,14,14,14,14,14,14,14,13,14,14,14,14,14,2,1,7,14,14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
10,0,11,14,14,2,14,14,14,14,14,14,14,14,13,14,14,14,14,14,4,1,6,14,14,14,14,14,14,14,14,0,0,0,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,0,12,17,17,3,17,17,17,17,17,17,17,17,16,17,17,17,16,17,2,0,8,17,17,17,17,17,17,17,17,0,1,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
12,1,1,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,0,5,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
13,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,1,3,13,13,3,13,13,13,13,13,13,13,13,12,13,13,13,13,13,2,1,4,13,13,13,13,13,13,13,13,1,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
15,1,4,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,1,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
16,1,5,9,9,3,9,9,9,9,9,9,9,9,8,9,9,9,9,9,3,0,5,9,9,9,9,9,9,9,9,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
17,1,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,3,6,6,6,6,6,6,6,6,0,1,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
18,1,7,15,15,3,15,15,15,15,15,15,15,15,14,15,15,15,15,15,2,0,11,15,15,15,15,15,15,15,15,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
19,1,8,15,15,1,15,15,15,15,15,15,15,15,12,15,15,15,15,15,3,1,3,15,15,15,15,15,15,15,15,0,1,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,1,9,12,12,2,12,12,12,12,12,12,12,12,10,12,12,12,12,12,1,1,6,12,12,12,12,12,12,12,12,2,0,0,1,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21,1,10,11,11,3,11,11,11,11,11,11,11,11,10,11,11,11,11,11,4,0,7,11,11,11,11,11,11,11,11,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
22,1,11,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,3,2,9,19,19,19,19,19,19,19,19,0,1,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
23,1,12,6,6,1,6,6,6,6,6,6,6,6,4,6,6,6,5,6,2,0,3,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
24,2,1,15,15,4,15,15,15,15,15,15,15,15,14,15,15,15,15,15,0,1,9,15,15,15,15,15,15,15,15,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,2,2,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
26,2,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,2,4,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,0,8,10,10,10,10,10,10,10,10,0,1,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
28,2,5,11,11,1,11,11,11,11,11,11,11,11,9,11,11,11,11,11,1,0,4,11,11,11,11,11,11,11,11,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
29,2,6,3,3,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30,2,7,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,3,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
31,2,8,17,17,3,17,17,17,17,17,17,17,17,16,17,17,17,17,17,4,2,11,17,17,17,17,17,17,17,17,0,1,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
32,2,9,15,15,0,15,15,15,15,15,15,15,15,13,15,15,15,15,15,2,1,6,15,15,15,15,15,15,15,15,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
33,2,10,13,13,2,13,13,13,13,13,13,13,13,10,13,13,13,13,13,3,0,7,13,13,13,13,13,13,13,13,0,0,0,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
34,2,11,13,13,1,13,13,13,13,13,13,13,13,10,13,13,13,13,13,3,1,4,13,13,13,13,13,13,13,13,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
35,2,12,13,13,2,13,13,13,13,13,13,13,13,11,13,13,13,13,13,1,0,11,13,13,13,13,13,13,13,13,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
36,3,1,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37,3,2,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,3,5,5,5,5,5,5,5,5,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,3,3,9,9,2,9,9,9,9,9,9,9,9,8,9,9,9,9,9,3,0,4,9,9,9,9,9,9,9,9,0,1,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
39,3,4,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,5,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
40,3,5,6,6,1,6,6,6,6,6,6,6,6,5,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
41,3,6,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,2,5,5,5,5,5,5,5,5,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,3,7,8,8,0,8,8,8,8,8,8,8,8,5,8,8,8,8,8,3,0,2,8,8,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
